cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
117,1001.9,259.9,90.9024,90.9087,90.5104,0.3920,0.3982,0.0062
118,998.4,287.3,90.9086,90.9149,90.5309,0.3777,0.3840,0.0062
119,998.6,302.0,90.9149,90.9211,90.5505,0.3644,0.3706,0.0062
120,999.6,295.9,90.9211,90.9273,90.5711,0.3500,0.3563,0.0062
121,1001.2,288.0,90.9273,90.9335,90.5899,0.3374,0.3436,0.0062
122,1001.0,273.6,90.9335,90.9397,90.6086,0.3249,0.3311,0.0062
123,998.7,278.5,90.9397,90.9459,90.6268,0.3129,0.3191,0.0062
124,999.4,265.5,90.9459,90.9522,90.6460,0.2999,0.3062,0.0062
125,1000.9,254.8,90.9521,90.9584,90.6633,0.2888,0.2950,0.0062
126,1000.0,274.1,90.9583,90.9646,90.6803,0.2780,0.2842,0.0062
127,999.0,263.7,90.9645,90.9708,90.6970,0.2676,0.2738,0.0062
128,999.8,260.5,90.9707,90.9770,90.7144,0.2563,0.2626,0.0062
129,1000.0,262.7,90.9769,90.9832,90.7299,0.2470,0.2532,0.0062
130,1000.2,255.9,90.9831,90.9894,90.7444,0.2387,0.2449,0.0062
131,1000.0,262.3,90.9893,90.9956,90.7579,0.2314,0.2377,0.0062
132,1001.1,276.2,90.9955,91.0018,90.7730,0.2225,0.2288,0.0062
133,1002.0,288.0,91.0017,91.0080,90.7829,0.2189,0.2251,0.0062
134,998.1,258.6,91.0079,91.0142,90.7959,0.2120,0.2182,0.0062
135,998.6,262.0,91.0141,91.0203,90.8072,0.2069,0.2132,0.0062
136,1002.2,291.7,91.0203,91.0265,90.8194,0.2009,0.2072,0.0062
137,1001.7,279.2,91.0265,91.0327,90.8306,0.1959,0.2021,0.0062
138,998.8,282.5,91.0327,91.0389,90.8415,0.1912,0.1974,0.0062
139,997.9,256.5,91.0389,91.0451,90.8522,0.1867,0.1929,0.0062
140,1000.0,257.4,91.0451,91.0513,90.8636,0.1814,0.1877,0.0062
141,1001.4,282.4,91.0512,91.0575,90.8740,0.1772,0.1834,0.0062
142,998.6,251.5,91.0574,91.0637,90.8841,0.1734,0.1796,0.0062
143,999.7,270.4,91.0636,91.0698,90.8940,0.1696,0.1758,0.0062
144,1000.1,314.6,91.0698,91.0760,90.9046,0.1652,0.1714,0.0062
145,999.6,325.0,91.0760,91.0822,90.9145,0.1615,0.1677,0.0062
146,1006.7,321.1,91.0822,91.0884,90.9242,0.1580,0.1642,0.0062
147,996.4,308.4,91.0883,91.0946,90.9338,0.1545,0.1608,0.0062
148,998.2,279.0,91.0945,91.1007,90.9442,0.1503,0.1565,0.0062
149,999.2,268.9,91.1007,91.1069,90.9538,0.1469,0.1531,0.0062
150,1001.8,266.5,91.1069,91.1131,90.9633,0.1435,0.1497,0.0062
151,1001.2,279.9,91.1130,91.1192,90.9726,0.1404,0.1466,0.0062
152,999.3,264.8,91.1192,91.1254,90.9818,0.1374,0.1436,0.0062
153,997.7,273.1,91.1254,91.1316,90.9916,0.1337,0.1400,0.0062
154,1005.2,268.1,91.1315,91.1378,90.9916,0.1399,0.1461,0.0062
155,994.8,260.4,91.1377,91.1439,91.0005,0.1372,0.1434,0.0062
156,999.8,271.9,91.1439,91.1501,91.0090,0.1349,0.1411,0.0062
157,1000.0,258.0,91.1500,91.1562,91.0179,0.1321,0.1383,0.0062
158,1000.0,267.9,91.1562,91.1624,91.0261,0.1301,0.1363,0.0062
159,999.9,263.2,91.1623,91.1686,91.0343,0.1280,0.1343,0.0062
160,1005.1,257.7,91.1685,91.1747,91.0425,0.1260,0.1322,0.0062
161,999.4,284.7,91.1747,91.1809,91.0510,0.1237,0.1299,0.0062
162,998.8,276.0,91.1808,91.1870,91.0587,0.1221,0.1283,0.0062
163,998.4,275.9,91.1870,91.1932,91.0666,0.1204,0.1266,0.0062
164,998.5,271.0,91.1931,91.1993,91.0745,0.1186,0.1249,0.0062
165,1008.9,285.9,91.1993,91.2055,91.0828,0.1165,0.1227,0.0062
166,993.7,272.0,91.2054,91.2116,91.0905,0.1149,0.1211,0.0062
167,997.5,261.1,91.2116,91.2178,91.0982,0.1133,0.1195,0.0062
168,1000.6,286.7,91.2177,91.2239,91.1058,0.1119,0.1181,0.0062
169,999.7,300.1,91.2238,91.2301,91.1140,0.1099,0.1161,0.0062
170,999.6,316.2,91.2300,91.2362,91.1216,0.1084,0.1146,0.0062
171,1000.5,305.6,91.2361,91.2423,91.1292,0.1069,0.1131,0.0062
172,999.1,303.5,91.2423,91.2485,91.1366,0.1057,0.1119,0.0062
173,1000.8,337.0,91.2484,91.2546,91.1437,0.1047,0.1109,0.0062
174,999.5,270.3,91.2545,91.2607,91.1512,0.1033,0.1095,0.0062
175,1000.2,315.2,91.2607,91.2669,91.1583,0.1024,0.1086,0.0062
176,1001.6,290.6,91.2668,91.2730,91.1655,0.1013,0.1075,0.0062
177,999.6,265.0,91.2729,91.2791,91.1733,0.0996,0.1058,0.0062
178,1000.9,269.2,91.2790,91.2853,91.1806,0.0984,0.1046,0.0062
179,997.9,265.7,91.2852,91.2914,91.1881,0.0971,0.1033,0.0062
180,1004.3,260.4,91.2913,91.2975,91.1956,0.0957,0.1019,0.0062
181,995.9,277.6,91.2974,91.3036,91.2036,0.0938,0.1000,0.0062
182,1001.6,277.5,91.3035,91.3097,91.2111,0.0925,0.0987,0.0062
183,999.6,261.4,91.3097,91.3159,91.2184,0.0912,0.0974,0.0062
184,998.5,263.1,91.3158,91.3220,91.2257,0.0901,0.0963,0.0062
185,1001.6,263.3,91.3219,91.3281,91.2334,0.0885,0.0947,0.0062
186,998.6,263.8,91.3280,91.3342,91.2403,0.0877,0.0939,0.0062
187,999.6,259.0,91.3341,91.3403,91.2472,0.0869,0.0931,0.0062
188,1000.3,277.2,91.3402,91.3464,91.2540,0.0863,0.0925,0.0062
189,1000.2,259.9,91.3463,91.3525,91.2611,0.0852,0.0914,0.0062
190,1004.2,278.5,91.3524,91.3586,91.2676,0.0849,0.0910,0.0062
191,999.8,280.6,91.3585,91.3647,91.2739,0.0846,0.0908,0.0062
192,995.9,259.0,91.3646,91.3708,91.2802,0.0845,0.0907,0.0062
193,1000.1,288.8,91.3707,91.3769,91.2869,0.0838,0.0900,0.0062
194,1002.2,316.5,91.3768,91.3830,91.2932,0.0836,0.0898,0.0062
195,1001.0,317.2,91.3829,91.3891,91.2995,0.0834,0.0896,0.0062
196,998.5,290.9,91.3890,91.3952,91.3057,0.0833,0.0895,0.0062
197,998.9,254.4,91.3951,91.4013,91.3125,0.0826,0.0888,0.0062
198,1000.0,266.6,91.4012,91.4074,91.3187,0.0825,0.0887,0.0062
199,999.2,268.3,91.4073,91.4135,91.3248,0.0825,0.0887,0.0062
200,1000.0,243.9,91.4134,91.4196,91.3308,0.0826,0.0888,0.0062
201,999.9,260.6,91.4195,91.4257,91.3373,0.0821,0.0883,0.0062
202,999.7,262.0,91.4256,91.4317,91.3436,0.0820,0.0882,0.0062
203,1000.2,261.1,91.4316,91.4378,91.3497,0.0819,0.0881,0.0062
204,1000.1,253.7,91.4377,91.4439,91.3561,0.0816,0.0878,0.0062
205,999.9,269.4,91.4438,91.4500,91.3619,0.0819,0.0881,0.0062
206,1001.3,266.3,91.4499,91.4561,91.3678,0.0821,0.0883,0.0062
207,1000.9,255.9,91.4559,91.4621,91.3736,0.0823,0.0885,0.0062
208,998.1,273.5,91.4620,91.4682,91.3801,0.0819,0.0881,0.0062
209,1000.1,252.1,91.4681,91.4743,91.3860,0.0821,0.0883,0.0062
210,1000.5,270.9,91.4742,91.4803,91.3917,0.0824,0.0886,0.0062
211,1001.7,283.5,91.4802,91.4864,91.3973,0.0829,0.0891,0.0062
212,997.6,269.6,91.4863,91.4925,91.4031,0.0832,0.0894,0.0062
213,1000.6,273.7,91.4923,91.4985,91.4083,0.0840,0.0902,0.0062
214,1000.1,267.2,91.4984,91.5046,91.4137,0.0847,0.0909,0.0062
215,998.9,239.8,91.5045,91.5106,91.4193,0.0851,0.0913,0.0062
216,1000.3,267.9,91.5105,91.5167,91.4250,0.0855,0.0917,0.0062
217,1000.1,266.9,91.5166,91.5227,91.4313,0.0852,0.0914,0.0062
218,999.8,271.9,91.5226,91.5288,91.4371,0.0855,0.0916,0.0062
219,1000.0,304.8,91.5287,91.5348,91.4429,0.0857,0.0919,0.0062
220,1000.7,307.8,91.5347,91.5409,91.4486,0.0861,0.0923,0.0062
221,1001.6,297.4,91.5407,91.5469,91.4549,0.0859,0.0920,0.0062
