cycle,cycle_dt_us,work_dt_us,q_ideal_deg,q_send_deg,q_meas_deg,error_deg,gap_deg,drift_deg
105,994.5,346.4,90.7378,90.7441,90.0981,0.6397,0.6460,0.0063
106,999.3,374.9,90.7441,90.7503,90.1247,0.6194,0.6256,0.0063
107,999.8,352.8,90.7503,90.7565,90.1627,0.5876,0.5939,0.0063
108,1002.8,356.7,90.7565,90.7628,90.2088,0.5478,0.5540,0.0063
109,997.9,358.5,90.7627,90.7690,90.2532,0.5095,0.5158,0.0063
110,999.4,343.7,90.7690,90.7752,90.2849,0.4841,0.4903,0.0063
111,1000.3,353.0,90.7752,90.7814,90.3095,0.4657,0.4720,0.0063
112,999.5,347.8,90.7814,90.7877,90.3311,0.4503,0.4566,0.0063
113,1001.0,674.2,90.7876,90.7939,90.3540,0.4336,0.4399,0.0063
114,998.5,341.0,90.7939,90.8001,90.3764,0.4174,0.4237,0.0063
115,1001.8,338.7,90.8001,90.8063,90.3994,0.4006,0.4069,0.0063
116,999.5,674.8,90.8063,90.8125,90.4223,0.3840,0.3903,0.0062
117,999.9,349.4,90.8125,90.8188,90.4457,0.3668,0.3730,0.0062
118,999.9,363.3,90.8187,90.8250,90.4661,0.3526,0.3588,0.0062
119,1000.0,703.3,90.8249,90.8312,90.4850,0.3399,0.3461,0.0062
120,1002.3,406.4,90.8311,90.8374,90.5026,0.3286,0.3348,0.0062
121,997.8,379.0,90.8374,90.8436,90.5205,0.3168,0.3231,0.0062
122,997.7,682.1,90.8436,90.8498,90.5368,0.3067,0.3130,0.0062
123,1000.5,372.9,90.8498,90.8560,90.5530,0.2968,0.3031,0.0062
124,1003.7,358.8,90.8560,90.8622,90.5691,0.2869,0.2931,0.0062
125,999.1,664.2,90.8622,90.8684,90.5865,0.2757,0.2820,0.0062
126,1000.0,368.7,90.8684,90.8746,90.6024,0.2660,0.2722,0.0062
127,1000.5,361.3,90.8746,90.8808,90.6180,0.2566,0.2629,0.0062
128,998.3,685.4,90.8808,90.8870,90.6329,0.2479,0.2541,0.0062
129,1000.1,351.4,90.8870,90.8932,90.6486,0.2384,0.2447,0.0062
130,999.3,335.3,90.8932,90.8994,90.6628,0.2304,0.2366,0.0062
131,1000.8,372.8,90.8994,90.9056,90.6769,0.2225,0.2287,0.0062
132,1000.2,334.2,90.9056,90.9118,90.6909,0.2147,0.2210,0.0062
133,1000.1,360.1,90.9118,90.9180,90.7055,0.2063,0.2125,0.0062
134,1001.0,366.0,90.9180,90.9242,90.7187,0.1993,0.2055,0.0062
135,998.9,331.6,90.9242,90.9304,90.7313,0.1929,0.1991,0.0062
136,1001.0,359.7,90.9304,90.9366,90.7431,0.1872,0.1935,0.0062
137,999.2,359.1,90.9366,90.9428,90.7541,0.1824,0.1887,0.0062
138,999.4,369.7,90.9428,90.9490,90.7651,0.1777,0.1839,0.0062
139,1000.3,364.2,90.9489,90.9552,90.7749,0.1740,0.1803,0.0062
140,1040.7,339.3,90.9551,90.9614,90.7846,0.1706,0.1768,0.0062
141,964.3,343.7,90.9613,90.9676,90.7949,0.1664,0.1726,0.0062
142,997.9,463.0,90.9675,90.9737,90.8045,0.1630,0.1692,0.0062
143,994.3,420.4,90.9737,90.9799,90.8142,0.1595,0.1658,0.0062
144,1004.3,398.3,90.9799,90.9861,90.8237,0.1561,0.1624,0.0062
145,992.1,422.4,90.9860,90.9923,90.8338,0.1522,0.1584,0.0062
146,997.9,449.8,90.9922,90.9985,90.8430,0.1492,0.1555,0.0062
147,1007.7,432.4,90.9984,91.0046,90.8521,0.1463,0.1525,0.0062
148,999.8,692.1,91.0046,91.0108,90.8612,0.1433,0.1496,0.0062
149,1000.1,369.0,91.0108,91.0170,90.8710,0.1397,0.1460,0.0062
150,1000.9,404.2,91.0169,91.0232,90.8799,0.1370,0.1433,0.0062
151,997.3,395.7,91.0231,91.0293,90.8886,0.1345,0.1407,0.0062
152,1001.0,460.9,91.0293,91.0355,90.8972,0.1320,0.1383,0.0062
153,999.3,330.9,91.0354,91.0417,90.9065,0.1289,0.1351,0.0062
154,1005.4,421.7,91.0416,91.0478,90.9152,0.1264,0.1327,0.0062
155,996.3,379.6,91.0478,91.0540,90.9238,0.1239,0.1302,0.0062
156,999.7,392.9,91.0539,91.0602,90.9324,0.1216,0.1278,0.0062
157,1000.6,341.0,91.0601,91.0663,90.9416,0.1185,0.1247,0.0062
158,1002.5,386.0,91.0663,91.0725,90.9501,0.1162,0.1224,0.0062
159,996.9,386.6,91.0724,91.0786,90.9586,0.1138,0.1200,0.0062
160,1001.0,388.6,91.0786,91.0848,90.9670,0.1116,0.1178,0.0062
161,999.6,356.5,91.0847,91.0909,90.9758,0.1089,0.1151,0.0062
162,1002.4,376.7,91.0909,91.0971,90.9842,0.1067,0.1129,0.0062
163,1015.0,690.9,91.0970,91.1032,90.9922,0.1049,0.1111,0.0062
164,985.8,355.8,91.1032,91.1094,91.0001,0.1031,0.1093,0.0062
165,997.3,378.0,91.1093,91.1155,91.0082,0.1011,0.1073,0.0062
166,998.1,715.0,91.1155,91.1217,91.0155,0.0999,0.1061,0.0062
167,1002.6,356.9,91.1216,91.1278,91.0226,0.0990,0.1052,0.0062
168,1000.8,405.7,91.1278,91.1340,91.0297,0.0980,0.1043,0.0062
169,998.9,749.4,91.1339,91.1401,91.0373,0.0966,0.1028,0.0062
170,1001.5,406.9,91.1401,91.1463,91.0443,0.0958,0.1020,0.0062
171,998.3,423.2,91.1462,91.1524,91.0510,0.0952,0.1014,0.0062
172,999.8,694.8,91.1523,91.1585,91.0577,0.0946,0.1009,0.0062
173,1000.3,367.4,91.1585,91.1647,91.0649,0.0936,0.0998,0.0062
174,1002.6,377.9,91.1646,91.1708,91.0718,0.0928,0.0990,0.0062
175,1000.1,664.4,91.1707,91.1769,91.0787,0.0920,0.0982,0.0062
176,998.6,373.8,91.1769,91.1831,91.0856,0.0913,0.0975,0.0062
177,999.9,387.4,91.1830,91.1892,91.0929,0.0901,0.0963,0.0062
178,999.6,719.9,91.1891,91.1953,91.0997,0.0895,0.0957,0.0062
179,998.0,343.9,91.1952,91.2015,91.1064,0.0888,0.0950,0.0062
